t,x(t)
702,-8.907766186629212
703,-9.081931674880527
704,-9.251904150374704
705,-9.415618345610241
706,-9.570945656397141
707,-9.71572941599015
708,-9.847828918860149
709,-9.965166478613549
710,-10.065779794810021
711,-10.147876701327386
712,-10.209891002204468
713,-10.250535837492638
714,-10.26885046177643
715,-10.264238921853888
716,-10.236498214060616
717,-10.185833930745304
718,-10.112862184353846
719,-10.0185979127448
720,-9.904428792045005
721,-9.772075069418152
722,-9.623540440612834
723,-9.461055685657334
724,-9.287017843470789
725,-9.103927861934528
726,-8.914329305380305
727,-8.720750678710948
728,-8.52565401395566
729,-8.331391331356995
730,-8.140169351578164
731,-7.9540226864101315
732,-7.774795341329576
733,-7.604129637211211
734,-7.443461814774386
735,-7.294027348810652
736,-7.156865710201125
737,-7.032832409336122
738,-6.922612619414392
739,-6.82673653747376
740,-6.745595572703261
741,-6.679458651947482
742,-6.628487162511744
743,-6.592751088865448
744,-6.572239109491901
745,-6.566872302530762
746,-6.576512838967447
747,-6.600970247745605
748,-6.640005785928667
749,-6.69333606683024
750,-6.76063344313248
751,-6.841523867321637
752,-6.935581898904535
753,-7.042326012365089
754,-7.161210985361671
755,-7.291618857811627
756,-7.432846647150547
757,-7.5840953730989495
758,-7.744458925594937
759,-7.912912368198328
760,-8.088298573847965
761,-8.269317045279113
762,-8.454518223073796
763,-8.642299073285544
764,-8.8309013359232
765,-9.018413548930072
766,-9.20278465671084
767,-9.381843497793486
768,-9.553321503563495
769,-9.714888408523683
770,-9.864194393791449
771,-9.998920455058629
772,-10.11683515575907
773,-10.215855630701668
774,-10.294110580837343
775,-10.350002587866335
776,-10.382264402110433
777,-10.390014008357825
778,-10.372790659551216
779,-10.330581872553438
780,-10.263833978074308
781,-10.173446081706272
782,-10.060747558359195
783,-9.927460342401323
784,-9.775647514782724
785,-9.607653091385037
786,-9.426033420204865
787,-9.233486053213033
788,-9.032779312568143
789,-8.826685458644103
790,-8.617920035957775
791,-8.409089078689911
792,-8.202646110510152
793,-8.000858640134819
794,-7.805785813114722
795,-7.619263788778436
796,-7.442900438120855
797,-7.278077071161293
798,-7.125956086382126
799,-6.987493206721548
800,-6.863453014683373
801,-6.754426600945365
802,-6.660850275199609
803,-6.583025053551475
804,-6.521132408020103
805,-6.475255058351203
806,-6.445390917966077
807,-6.431465815361917
808,-6.433344876641846
809,-6.450842534680858
810,-6.483728752761453
811,-6.531732807624668
812,-6.594544251620717
813,-6.671812544208916
814,-6.763144185589806
815,-6.868096767314948
816,-6.986171233276874
817,-7.116801752027678
818,-7.25934477852871
819,-7.413066463723299
820,-7.577129050451989
821,-7.750575859145896
822,-7.932315695234917
823,-8.121110001334346
824,-8.315562308155743
825,-8.514106386017064
826,-8.715001545096912
827,-8.916331358453697
828,-9.11600858020418
829,-9.311788290413327
830,-9.501289372278098
831,-9.68202511631187
832,-9.851443454073685
833,-10.006976681560582
834,-10.146099916079468
835,-10.266397293354055
836,-10.365633242149405
837,-10.441824939049743
838,-10.4933127061079
839,-10.518825208324206
840,-10.517529764552274
841,-10.48908148638975
842,-10.433641678448078
843,-10.351884825724166
844,-10.244984647746783
845,-10.114581296737612
846,-9.9627315890924
847,-9.791845190808738
848,-9.604610791176933
849,-9.403915515788439
850,-9.19276397515887
851,-8.974199541299791
852,-8.751230805069204
853,-8.526767976828376
854,-8.30356785873518
855,-8.084192592523765
856,-7.87097837173898
857,-7.6660160142019125
858,-7.471141665511486
859,-7.287936405209323
860,-7.1177332568749305
861,-6.961630023301744
862,-6.820506400172414
863,-6.695043939396756
864,-6.585747671542588
865,-6.4929675563709175
866,-6.416921596135727
867,-6.357714142816158
868,-6.315355762061928
869,-6.289780006508475
870,-6.28085738141235
871,-6.288406821320151
872,-6.312204501783292
873,-6.351989872023662
874,-6.407469342318434
875,-6.478316350856178
876,-6.564170620731686
877,-6.664632405735654
878,-6.779254799332672
879,-6.90753559260335
880,-7.048906602643161
881,-7.20271758201826
882,-7.368220974882864
883,-7.54455817575797
884,-7.730742980518843
885,-7.92563796164591
886,-8.127945368108406
887,-8.336188032532664
888,-8.548698987305931
889,-8.763613466969876
890,-8.978866780776302
891,-9.192199305687954
892,-9.401169991484423
893,-9.603179880976795
894,-9.795506871979052
895,-9.97535182862844
896,-10.139895925390144
897,-10.286368304452738
898,-10.41212215518042
899,-10.514716372124074
900,-10.591999087569556
901,-10.642188442132625
902,-10.663947662979167
903,-10.656444817337768
904,-10.619397359135748
905,-10.55309632916342
906,-10.45840819721575
907,-10.336753846230005
